mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
1986,1986-06-05,Italy,Argentina,2,0.369,X,1-1,0
1986,1986-06-05,South Korea,Bulgaria,2,0.409,X,1-1,0
1986,1986-06-05,France,Russia,1,0.385,X,1-1,0
1986,1986-06-06,Brazil,Algeria,1,0.605,1,1-0,1
1986,1986-06-06,England,Morocco,1,0.595,X,0-0,0
1986,1986-06-06,Hungary,Canada,1,0.628,1,2-0,1
1986,1986-06-07,Mexico,Paraguay,1,0.56,X,1-1,0
1986,1986-06-07,Northern Ireland,Spain,2,0.409,2,1-2,1
1986,1986-06-07,Poland,Portugal,2,0.369,1,1-0,0
1986,1986-06-08,Iraq,Belgium,2,0.4,2,1-2,1
1986,1986-06-08,Germany,Scotland,1,0.473,1,2-1,1
1986,1986-06-08,Denmark,Uruguay,1,0.398,1,6-1,1
1986,1986-06-09,Hungary,France,2,0.524,2,0-3,1
1986,1986-06-09,Russia,Canada,1,0.776,1,2-0,1
1986,1986-06-10,Argentina,Bulgaria,1,0.464,1,2-0,1
1986,1986-06-10,South Korea,Italy,2,0.461,2,2-3,1
1986,1986-06-11,England,Poland,1,0.525,1,3-0,1
1986,1986-06-11,Mexico,Iraq,1,0.659,1,1-0,1
1986,1986-06-11,Paraguay,Belgium,1,0.43,X,2-2,0
1986,1986-06-11,Portugal,Morocco,1,0.366,2,1-3,0
1986,1986-06-12,Northern Ireland,Brazil,2,0.569,2,0-3,1
1986,1986-06-12,Algeria,Spain,2,0.528,2,0-3,1
1986,1986-06-13,Scotland,Uruguay,1,0.377,X,0-0,0
1986,1986-06-13,Denmark,Germany,2,0.415,1,2-0,0
1986,1986-06-15,Mexico,Bulgaria,1,0.63,1,2-0,1
1986,1986-06-15,Russia,Belgium,1,0.605,2,3-4,0
1986,1986-06-16,Argentina,Uruguay,1,0.484,1,1-0,1
1986,1986-06-16,Brazil,Poland,1,0.617,1,4-0,1
1986,1986-06-17,Italy,France,2,0.518,2,0-2,1
1986,1986-06-17,Morocco,Germany,2,0.491,2,0-1,1
1986,1986-06-18,Denmark,Spain,1,0.461,2,1-5,0
1986,1986-06-18,England,Paraguay,1,0.548,1,3-0,1
1986,1986-06-21,Mexico,Germany,1,0.459,X,0-0,0
1986,1986-06-21,Brazil,France,2,0.393,X,1-1,0
1986,1986-06-22,Argentina,England,2,0.461,1,2-1,0
1986,1986-06-22,Spain,Belgium,1,0.532,X,1-1,0
1986,1986-06-25,Argentina,Belgium,1,0.514,1,2-0,1
1986,1986-06-25,France,Germany,1,0.491,2,0-2,0
1986,1986-06-28,France,Belgium,1,0.552,1,4-2,1
1986,1986-06-29,Argentina,Germany,1,0.368,1,3-2,1
1990,1990-06-13,Argentina,Russia,2,0.513,1,2-0,0
1990,1990-06-14,Serbia,Colombia,1,0.392,1,1-0,1
1990,1990-06-14,Italy,United States,1,0.796,1,1-0,1
1990,1990-06-14,Cameroon,Romania,2,0.52,1,2-1,0
1990,1990-06-15,Austria,Czech Republic,2,0.509,2,0-1,1
1990,1990-06-15,Germany,United Arab Emirates,1,0.806,1,5-1,1
1990,1990-06-16,Brazil,Costa Rica,1,0.739,1,1-0,1
1990,1990-06-16,England,Netherlands,2,0.405,X,0-0,0
1990,1990-06-16,Sweden,Scotland,1,0.62,2,1-2,0
1990,1990-06-17,Belgium,Uruguay,2,0.359,1,3-1,0
1990,1990-06-17,Republic of Ireland,Egypt,1,0.491,X,0-0,0
1990,1990-06-17,South Korea,Spain,2,0.474,2,1-3,1
1990,1990-06-18,Argentina,Romania,2,0.435,X,1-1,0
1990,1990-06-18,Cameroon,Russia,2,0.428,2,0-4,1
1990,1990-06-19,Serbia,United Arab Emirates,1,0.69,1,4-1,1
1990,1990-06-19,Italy,Czech Republic,1,0.573,1,2-0,1
1990,1990-06-19,Austria,United States,1,0.54,1,2-1,1
1990,1990-06-19,Germany,Colombia,1,0.659,X,1-1,0
1990,1990-06-20,Brazil,Scotland,1,0.66,1,1-0,1
1990,1990-06-20,Sweden,Costa Rica,1,0.626,2,1-2,0
1990,1990-06-21,Belgium,Spain,2,0.372,2,1-2,1
1990,1990-06-21,England,Egypt,1,0.562,1,1-0,1
1990,1990-06-21,Republic of Ireland,Netherlands,2,0.499,X,1-1,0
1990,1990-06-21,South Korea,Uruguay,2,0.41,2,0-1,1
1990,1990-06-23,Czech Republic,Costa Rica,1,0.545,1,4-1,1
1990,1990-06-23,Cameroon,Colombia,2,0.399,1,2-1,0
1990,1990-06-24,Germany,Netherlands,1,0.428,1,2-1,1
1990,1990-06-24,Brazil,Argentina,1,0.622,2,0-1,0
1990,1990-06-25,Republic of Ireland,Romania,1,0.366,X,0-0,0
1990,1990-06-25,Italy,Uruguay,1,0.614,1,2-0,1
1990,1990-06-26,England,Belgium,1,0.457,1,1-0,1
1990,1990-06-26,Spain,Serbia,1,0.481,2,1-2,0
1990,1990-06-30,Italy,Republic of Ireland,1,0.619,1,1-0,1
1990,1990-06-30,Serbia,Argentina,1,0.426,X,0-0,0
1990,1990-07-01,Cameroon,England,2,0.61,2,2-3,1
1990,1990-07-01,Germany,Czech Republic,1,0.554,1,1-0,1
1990,1990-07-03,Italy,Argentina,1,0.648,X,1-1,0
1990,1990-07-04,Germany,England,1,0.451,X,1-1,0
1990,1990-07-07,Italy,England,1,0.5,1,2-1,1
1990,1990-07-08,Germany,Argentina,1,0.557,1,1-0,1
1994,1994-06-21,Germany,Spain,1,0.519,X,1-1,0
1994,1994-06-22,Romania,Switzerland,1,0.424,2,1-4,0
1994,1994-06-22,United States,Colombia,2,0.489,1,2-1,0
1994,1994-06-23,Italy,Norway,1,0.426,1,1-0,1
1994,1994-06-23,South Korea,Bolivia,1,0.53,X,0-0,0
1994,1994-06-24,Brazil,Cameroon,1,0.64,1,3-0,1
1994,1994-06-24,Mexico,Republic of Ireland,2,0.39,1,2-1,0
1994,1994-06-24,Sweden,Russia,1,0.441,1,3-1,1
1994,1994-06-25,Argentina,Nigeria,1,0.413,1,2-1,1
1994,1994-06-25,Belgium,Netherlands,2,0.552,1,1-0,0
1994,1994-06-25,Saudi Arabia,Morocco,1,0.351,1,2-1,1
1994,1994-06-26,United States,Romania,2,0.416,2,0-1,1
1994,1994-06-26,Bulgaria,Greece,1,0.462,1,4-0,1
1994,1994-06-26,Switzerland,Colombia,1,0.437,2,0-2,0
1994,1994-06-27,Bolivia,Spain,2,0.629,2,1-3,1
1994,1994-06-27,Germany,South Korea,1,0.58,1,3-2,1
1994,1994-06-28,Brazil,Sweden,1,0.507,X,1-1,0
1994,1994-06-28,Republic of Ireland,Norway,1,0.359,X,0-0,0
1994,1994-06-28,Italy,Mexico,1,0.449,X,1-1,0
1994,1994-06-28,Russia,Cameroon,1,0.423,1,6-1,1
1994,1994-06-29,Belgium,Saudi Arabia,1,0.469,2,0-1,0
1994,1994-06-29,Morocco,Netherlands,2,0.625,2,1-2,1
1994,1994-06-30,Argentina,Bulgaria,1,0.562,2,0-2,0
1994,1994-06-30,Greece,Nigeria,2,0.652,2,0-2,1
1994,1994-07-02,Germany,Belgium,1,0.588,1,3-2,1
1994,1994-07-02,Spain,Switzerland,1,0.434,1,3-0,1
1994,1994-07-03,Romania,Argentina,2,0.387,1,3-2,0
1994,1994-07-03,Saudi Arabia,Sweden,2,0.548,2,1-3,1
1994,1994-07-04,Netherlands,Republic of Ireland,1,0.494,1,2-0,1
1994,1994-07-04,United States,Brazil,2,0.64,2,0-1,1
1994,1994-07-05,Mexico,Bulgaria,1,0.454,X,1-1,0
1994,1994-07-05,Nigeria,Italy,2,0.458,2,1-2,1
1994,1994-07-09,Italy,Spain,1,0.398,1,2-1,1
1994,1994-07-09,Netherlands,Brazil,2,0.372,2,2-3,1
1994,1994-07-10,Romania,Sweden,2,0.438,X,2-2,0
1994,1994-07-10,Bulgaria,Germany,2,0.604,1,2-1,0
1994,1994-07-13,Sweden,Brazil,2,0.454,2,0-1,1
1994,1994-07-13,Bulgaria,Italy,2,0.499,2,1-2,1
1994,1994-07-16,Sweden,Bulgaria,1,0.457,1,4-0,1
1994,1994-07-17,Brazil,Italy,1,0.413,X,0-0,0
1998,1998-06-16,Brazil,Morocco,1,0.702,1,3-0,1
1998,1998-06-16,Scotland,Norway,2,0.572,X,1-1,0
1998,1998-06-17,Chile,Austria,1,0.512,X,1-1,0
1998,1998-06-17,Italy,Cameroon,1,0.645,1,3-0,1
1998,1998-06-18,France,Saudi Arabia,1,0.778,1,4-0,1
1998,1998-06-18,South Africa,Denmark,2,0.572,X,1-1,0
1998,1998-06-19,Spain,Paraguay,1,0.599,X,0-0,0
1998,1998-06-19,Nigeria,Bulgaria,2,0.371,1,1-0,0
1998,1998-06-20,Japan,Croatia,2,0.514,2,0-1,1
1998,1998-06-20,Netherlands,South Korea,1,0.549,1,5-0,1
1998,1998-06-20,Belgium,Mexico,2,0.472,X,2-2,0
1998,1998-06-21,Argentina,Jamaica,1,0.618,1,5-0,1
1998,1998-06-21,Germany,Serbia,1,0.491,X,2-2,0
1998,1998-06-21,United States,Iran,1,0.386,2,1-2,0
1998,1998-06-22,Colombia,Tunisia,1,0.417,1,1-0,1
1998,1998-06-22,Romania,England,2,0.47,1,2-1,0
1998,1998-06-23,Brazil,Norway,1,0.633,2,1-2,0
1998,1998-06-23,Chile,Cameroon,1,0.548,X,1-1,0
1998,1998-06-23,Italy,Austria,1,0.645,1,2-1,1
1998,1998-06-23,Scotland,Morocco,2,0.395,2,0-3,1
1998,1998-06-24,Spain,Bulgaria,1,0.566,1,6-1,1
1998,1998-06-24,South Africa,Saudi Arabia,2,0.374,X,2-2,0
1998,1998-06-24,France,Denmark,1,0.652,1,2-1,1
1998,1998-06-24,Nigeria,Paraguay,1,0.434,2,1-3,0
1998,1998-06-25,Belgium,South Korea,1,0.416,X,1-1,0
1998,1998-06-25,Germany,Iran,1,0.667,1,2-0,1
1998,1998-06-25,Netherlands,Mexico,1,0.488,X,2-2,0
1998,1998-06-25,United States,Serbia,2,0.652,2,0-1,1
1998,1998-06-26,Romania,Tunisia,1,0.637,X,1-1,0
1998,1998-06-26,Colombia,England,2,0.569,2,0-2,1
1998,1998-06-26,Argentina,Croatia,1,0.438,1,1-0,1
1998,1998-06-26,Japan,Jamaica,1,0.487,2,1-2,0
1998,1998-06-27,Brazil,Chile,1,0.705,1,4-1,1
1998,1998-06-27,Italy,Norway,1,0.375,1,1-0,1
1998,1998-06-28,France,Paraguay,1,0.73,1,1-0,1
1998,1998-06-28,Nigeria,Denmark,2,0.453,2,1-4,1
1998,1998-06-29,Netherlands,Serbia,1,0.39,1,2-1,1
1998,1998-06-29,Germany,Mexico,1,0.569,1,2-1,1
1998,1998-06-30,Argentina,England,1,0.363,X,2-2,0
1998,1998-06-30,Romania,Croatia,1,0.421,2,0-1,0
1998,1998-07-03,Brazil,Denmark,1,0.643,1,3-2,1
1998,1998-07-03,France,Italy,1,0.526,X,0-0,0
1998,1998-07-04,Germany,Croatia,1,0.592,2,0-3,0
1998,1998-07-04,Netherlands,Argentina,1,0.429,1,2-1,1
1998,1998-07-07,Brazil,Netherlands,1,0.516,X,1-1,0
1998,1998-07-08,France,Croatia,1,0.561,1,2-1,1
1998,1998-07-11,Netherlands,Croatia,1,0.492,2,1-2,0
1998,1998-07-12,France,Brazil,1,0.39,1,3-0,1
2002,2002-06-05,Germany,Republic of Ireland,1,0.451,X,1-1,0
2002,2002-06-06,France,Uruguay,1,0.634,X,0-0,0
2002,2002-06-06,Cameroon,Saudi Arabia,1,0.477,1,1-0,1
2002,2002-06-06,Denmark,Senegal,1,0.459,X,1-1,0
2002,2002-06-07,Sweden,Nigeria,1,0.43,1,2-1,1
2002,2002-06-07,Spain,Paraguay,1,0.618,1,3-1,1
2002,2002-06-07,Argentina,England,1,0.471,2,0-1,0
2002,2002-06-08,South Africa,Slovenia,2,0.372,1,1-0,0
2002,2002-06-08,Brazil,China,1,0.614,1,4-0,1
2002,2002-06-08,Italy,Croatia,1,0.534,2,1-2,0
2002,2002-06-09,Mexico,Ecuador,1,0.561,1,2-1,1
2002,2002-06-09,Costa Rica,Turkey,1,0.497,X,1-1,0
2002,2002-06-09,Japan,Russia,1,0.506,1,1-0,1
2002,2002-06-10,Tunisia,Belgium,2,0.544,X,1-1,0
2002,2002-06-10,South Korea,United States,1,0.406,X,1-1,0
2002,2002-06-10,Portugal,Poland,1,0.627,1,4-0,1
2002,2002-06-11,Cameroon,Germany,2,0.455,2,0-2,1
2002,2002-06-11,Denmark,France,2,0.519,1,2-0,0
2002,2002-06-11,Saudi Arabia,Republic of Ireland,2,0.559,2,0-3,1
2002,2002-06-11,Senegal,Uruguay,2,0.379,X,3-3,0
2002,2002-06-12,Nigeria,England,2,0.571,X,0-0,0
2002,2002-06-12,Slovenia,Paraguay,2,0.392,2,1-3,1
2002,2002-06-12,South Africa,Spain,2,0.675,2,2-3,1
2002,2002-06-12,Sweden,Argentina,2,0.469,X,1-1,0
2002,2002-06-13,Turkey,China,1,0.38,1,3-0,1
2002,2002-06-13,Mexico,Italy,2,0.408,X,1-1,0
2002,2002-06-13,Costa Rica,Brazil,2,0.558,2,2-5,1
2002,2002-06-13,Ecuador,Croatia,2,0.539,1,1-0,0
2002,2002-06-14,Belgium,Russia,1,0.394,1,3-2,1
2002,2002-06-14,Japan,Tunisia,1,0.663,1,2-0,1
2002,2002-06-14,South Korea,Portugal,2,0.411,1,1-0,0
2002,2002-06-14,Poland,United States,2,0.591,1,3-1,0
2002,2002-06-15,Denmark,England,2,0.359,2,0-3,1
2002,2002-06-15,Germany,Paraguay,1,0.62,1,1-0,1
2002,2002-06-16,Spain,Republic of Ireland,1,0.481,X,1-1,0
2002,2002-06-16,Sweden,Senegal,1,0.456,2,1-2,0
2002,2002-06-17,Mexico,United States,1,0.48,2,0-2,0
2002,2002-06-17,Brazil,Belgium,1,0.57,1,2-0,1
2002,2002-06-18,South Korea,Italy,2,0.358,1,2-1,0
2002,2002-06-18,Japan,Turkey,1,0.594,2,0-1,0
2002,2002-06-21,England,Brazil,2,0.406,2,1-2,1
2002,2002-06-21,Germany,United States,1,0.501,1,1-0,1
2002,2002-06-22,South Korea,Spain,2,0.385,X,0-0,0
2002,2002-06-22,Senegal,Turkey,1,0.391,2,0-1,0
2002,2002-06-25,South Korea,Germany,2,0.386,2,0-1,1
2002,2002-06-26,Brazil,Turkey,1,0.648,1,1-0,1
2002,2002-06-29,South Korea,Turkey,1,0.517,2,2-3,0
2002,2002-06-30,Germany,Brazil,2,0.43,2,0-2,1
2006,2006-06-14,Germany,Poland,1,0.696,1,1-0,1
2006,2006-06-15,Ecuador,Costa Rica,1,0.424,1,3-0,1
