gameId,date,team,player,pos,starter,formation,appearances,foulsCommitted,foulsSuffered,ownGoals,redCards,subIns,yellowCards,goalsConceded,saves,shotsFaced,goalAssists,shotsOnTarget,totalGoals,totalShots,offsides
760414,2026-06-12,South Korea,Kim Seung-Gyu,G,True,3-4-2-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,South Korea,Kim Min-Jae,CD,True,3-4-2-1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Lee Gi-Hyuk,CD-L,True,3-4-2-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Lee Han-Beom,CD-R,True,3-4-2-1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760414,2026-06-12,South Korea,Paik Seung-Ho,CM-L,True,3-4-2-1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Hwang In-Beom,CM-R,True,3-4-2-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,2.0,1.0,3.0,0.0
760414,2026-06-12,South Korea,Lee Tae-Seok,LM,True,3-4-2-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Seol Young-Woo,RM,True,3-4-2-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0
760414,2026-06-12,South Korea,Son Heung-Min,F,True,3-4-2-1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,6.0,1.0
760414,2026-06-12,South Korea,Lee Jae-Sung,CF-L,True,3-4-2-1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,2.0,0.0
760414,2026-06-12,South Korea,Lee Kang-In,CF-R,True,3-4-2-1,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0
760414,2026-06-12,South Korea,Bae Jun-Ho,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Kim Jin-Gyu,SUB,False,3-4-2-1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
760414,2026-06-12,South Korea,Kim Tae-Hyeon,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Lee Dong-Gyeong,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Jens Castrop,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Song Bum-Keun,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,South Korea,Hwang Hee-Chan,SUB,False,3-4-2-1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Cho Gue-Sung,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Eom Ji-Sung,SUB,False,3-4-2-1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Jo Hyeon-Woo,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,South Korea,Yang Hyun-Jun,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Kim Moon-Hwan,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Cho Wi-Je,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Park Jin-Seop,SUB,False,3-4-2-1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,South Korea,Oh Hyeon-Gyu,SUB,False,3-4-2-1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0
760414,2026-06-12,Czech Republic,Matej Kovár,G,True,3-4-2-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,Czech Republic,Robin Hranác,CD,True,3-4-2-1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Ladislav Krejcí,CD-L,True,3-4-2-1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,1.0,0.0
760414,2026-06-12,Czech Republic,Stepán Chaloupek,CD-R,True,3-4-2-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Alexandr Sojka,CM-L,True,3-4-2-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Tomás Soucek,CM-R,True,3-4-2-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0
760414,2026-06-12,Czech Republic,Jaroslav Zelený,LM,True,3-4-2-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Vladimír Coufal,RM,True,3-4-2-1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Patrik Schick,F,True,3-4-2-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Pavel Sulc,CF-L,True,3-4-2-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
760414,2026-06-12,Czech Republic,Lukás Provod,CF-R,True,3-4-2-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
760414,2026-06-12,Czech Republic,Jindrich Stanek,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,Czech Republic,Adam Hlozek,SUB,False,3-4-2-1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,0.0,2.0,0.0
760414,2026-06-12,Czech Republic,Tomás Chorý,SUB,False,3-4-2-1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,David Doudera,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Lukás Cerv,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Tomás Holes,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Vladimír Darida,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Lukás Hornícek,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760414,2026-06-12,Czech Republic,Jan Kuchta,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Mojmír Chytil,SUB,False,3-4-2-1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Michal Sadílek,SUB,False,3-4-2-1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,0.0
760414,2026-06-12,Czech Republic,Hugo Sochurek,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,David Jurásek,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,Denis Visinský,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760414,2026-06-12,Czech Republic,David Zima,SUB,False,3-4-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Maxime Crépeau,G,True,4-4-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
760416,2026-06-12,Canada,Derek Cornelius,CD-L,True,4-4-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Luc de Fougerolles,CD-R,True,4-4-2,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Richie Laryea,LB,True,4-4-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Alistair Johnston,RB,True,4-4-2,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Stephen Eustáquio,CM-L,True,4-4-2,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Ismaël Koné,CM-R,True,4-4-2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Liam Millar,LM,True,4-4-2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Tajon Buchanan,RM,True,4-4-2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Tani Oluwaseyi,CF-L,True,4-4-2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,2.0,1.0
760416,2026-06-12,Canada,Jonathan David,CF-R,True,4-4-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0
760416,2026-06-12,Canada,Alfie Jones,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Niko Sigur,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Jacob Shaffelburg,SUB,False,4-4-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Joel Waterman,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Jonathan Osorio,SUB,False,4-4-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Jayden Nelson,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Cyle Larin,SUB,False,4-4-2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0
760416,2026-06-12,Canada,Ali Ahmed,SUB,False,4-4-2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Promise David,SUB,False,4-4-2,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0
760416,2026-06-12,Canada,Owen Goodman,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
760416,2026-06-12,Canada,Alphonso Davies,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
760416,2026-06-12,Canada,Dayne St. Clair,SUB,False,4-4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
