team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Mexico,Alexis Vega,Offence,28,4,1,0,0,2019,2025,baja
United States,Weston McKennie,Midfield,27,4,0,0,0,2019,2022,baja
United States,Folarin Balogun,Offence,24,4,4,2,0,2024,2026,baja
France,Michael Olise,Offence,24,4,4,0,0,2025,2025,baja
France,Bradley Barcola,Offence,23,4,4,1,0,2024,2026,baja
South Africa,Themba Zwane,Midfield,36,4,3,0,0,2017,2024,alta
South Africa,Lyle Foster,Offence,25,4,4,0,0,2025,2025,baja
South Africa,Oswin Appollis,Offence,24,4,4,0,1,2025,2025,baja
South Africa,Evidence Makgopa,Offence,26,4,3,0,0,2021,2026,baja
Australia,Ajdin Hrustic,Midfield,29,4,1,0,0,2021,2024,baja
Australia,Awer Mabil,Midfield,30,4,0,0,0,2019,2021,baja
Switzerland,Manuel Akanji,Defence,30,4,1,0,0,2022,2025,baja
Switzerland,Silvan Widmer,Defence,33,4,1,0,0,2020,2025,media
Ecuador,Félix Torres,Defence,29,4,0,0,0,2021,2023,baja
Sweden,Yasin Ayari,Midfield,22,4,4,2,0,2024,2026,baja
Czechia,Tomáš Chorý,Offence,31,4,3,0,0,2023,2025,baja
Croatia,Joško Gvardiol,Defence,24,4,2,0,0,2021,2025,baja
Croatia,Mateo Kovačić,Midfield,32,4,0,0,0,2020,2023,baja
Turkey,İrfan Kahveci,Midfield,30,4,2,0,0,2021,2024,baja
Turkey,Kenan Yıldız,Offence,21,4,4,0,0,2024,2025,baja
Senegal,Pape Gueye,Midfield,27,4,4,0,0,2024,2026,baja
Senegal,Nicolas Jackson,Offence,25,4,4,0,1,2025,2025,baja
Belgium,Maxim De Cuyper,Defence,25,4,4,0,0,2024,2025,baja
Belgium,Charles De Ketelaere,Offence,25,4,2,0,0,2021,2025,baja
Austria,Stefan Posch,Defence,29,4,3,0,0,2019,2025,baja
Austria,Romano Schmid,Midfield,26,4,4,1,0,2024,2026,baja
Austria,Saša Kalajdžić,Offence,28,4,0,0,0,2021,2021,baja
Colombia,Daniel Muñoz,Defence,30,4,4,2,0,2024,2026,baja
Colombia,Juan Fernando Quintero,Midfield,33,4,2,0,0,2014,2025,baja
Colombia,Jhon Córdoba,Offence,33,4,4,0,0,2024,2025,baja
Iran,Ehsan Hajsafi,Defence,36,4,0,0,3,2015,2021,alta
Panama,Alberto Quintero,Midfield,38,4,0,0,0,2015,2021,alta
Panama,César Yanis,Midfield,30,4,2,0,0,2021,2025,baja
Cape Verde Islands,Jamiro Monteiro,Midfield,32,4,2,0,0,2021,2024,baja
Cape Verde Islands,Ryan Mendes,Offence,36,4,2,0,1,2021,2024,media
Congo DR,Chancel Mbemba,Defence,31,4,2,0,0,2017,2025,baja
Ivory Coast,Seko Fofana,Midfield,31,4,2,0,0,2023,2024,baja
Ivory Coast,Ibrahim Sangaré,Midfield,28,4,1,0,1,2021,2025,baja
Uzbekistan,Oston Urunov,Midfield,25,4,3,0,0,2023,2024,baja
Netherlands,Brian Brobbey,Offence,24,4,4,3,0,2024,2026,baja
Curaçao,Leandro Bacuna,Midfield,34,4,1,0,1,2019,2025,alta
Uruguay,Rodrigo Bentancur,Midfield,29,3,2,0,0,2022,2024,baja
Uruguay,Rodrigo Aguirre,Offence,31,3,3,0,0,2024,2025,baja
Spain,Pedri,Midfield,23,3,3,0,0,2025,2025,baja
Paraguay,Júnior Alonso,Defence,33,3,1,0,0,2017,2025,media
Paraguay,Omar Alderete,Defence,29,3,3,0,0,2024,2025,baja
Paraguay,Miguel Almirón,Midfield,32,3,1,0,1,2021,2024,baja
Paraguay,Matías Galarza,Midfield,24,3,3,1,0,2025,2026,baja
Argentina,Alexis Mac Allister,Midfield,27,3,2,0,0,2022,2025,baja
Argentina,Thiago Almada,Midfield,25,3,3,0,0,2024,2025,baja
Argentina,Enzo Fernández,Midfield,25,3,1,0,0,2022,2025,baja
Portugal,Diogo Dalot,Defence,27,3,1,0,0,2022,2024,baja
Portugal,Francisco Conceição,Offence,23,3,3,0,0,2024,2025,baja
Japan,Ao Tanaka,Midfield,27,3,1,0,0,2021,2024,baja
Japan,Daizen Maeda,Offence,28,3,2,1,0,2022,2026,baja
Japan,Koki Ogawa,Offence,28,3,3,0,0,2024,2024,baja
Mexico,César Montes,Defence,29,3,3,0,0,2025,2025,baja
Mexico,Luis Chávez,Midfield,30,3,0,0,0,2022,2023,baja
Mexico,Luis Romo,Midfield,31,3,1,1,0,2023,2026,baja
England,John Stones,Defence,32,3,0,0,0,2018,2021,baja
England,Jordan Henderson,Midfield,36,3,0,0,0,2021,2022,alta
England,Eberechi Eze,Midfield,27,3,3,0,0,2025,2025,baja
England,Ollie Watkins,Offence,30,3,2,0,0,2021,2024,baja
United States,Brenden Aaronson,Midfield,25,3,1,0,0,2021,2025,baja
United States,Malik Tillman,Midfield,24,3,3,0,0,2025,2025,baja
United States,Ricardo Pepi,Offence,23,3,0,0,0,2021,2021,baja
Australia,Nishan Velupillay,Offence,25,3,3,0,0,2024,2025,baja
New Zealand,Tim Payne,Defence,32,3,1,0,0,2013,2025,baja
New Zealand,Ryan Thomas,Midfield,31,3,0,0,0,2017,2017,baja
Switzerland,Denis Zakaria,Midfield,29,3,0,0,0,2018,2019,baja
Switzerland,Dan Ndoye,Offence,25,3,3,0,0,2024,2025,baja
Ecuador,Moisés Caicedo,Midfield,24,3,0,0,0,2020,2022,baja
Czechia,Jan Kuchta,Offence,29,3,0,0,0,2022,2023,baja
Czechia,Adam Hložek,Offence,23,3,2,0,0,2021,2025,baja
Tunisia,Yassine Chikhaoui,Defence,22,3,0,0,0,2008,2015,baja
Tunisia,Ellyes Skhiri,Midfield,31,3,1,0,0,2021,2025,baja
Tunisia,Elias Achouri,Midfield,27,3,3,0,1,2025,2025,baja
Tunisia,Elias Saad,Offence,26,3,3,0,0,2025,2025,baja
Tunisia,Hazem Mastouri,Offence,29,3,3,1,0,2025,2026,baja
Turkey,Mert Müldür,Defence,27,3,2,0,0,2021,2025,baja
Turkey,Orkun Kökçü,Midfield,25,3,1,0,0,2021,2025,baja
Turkey,Yunus Akgün,Offence,25,3,1,0,0,2022,2025,baja
Senegal,Iliman Ndiaye,Midfield,26,3,3,0,0,2024,2026,baja
Senegal,Lamine Camara,Midfield,22,3,2,0,0,2023,2024,baja
Senegal,Cherif Ndiaye,Offence,30,3,3,0,1,2025,2025,baja
