team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
South Africa,Tholo Matuludi,Defence,27,0,0,0,0,,,baja
South Africa,Sphephelo Sithole,Midfield,27,0,0,0,0,,,baja
South Africa,Kamogelo Sebelebele,Midfield,23,0,0,0,0,,,baja
South Africa,Relebohile Mofokeng,Offence,21,0,0,0,0,,,baja
Algeria,Luca Zidane,Goalkeeper,28,0,0,0,0,,,baja
Algeria,Oussama Benbout,Goalkeeper,31,0,0,0,0,,,baja
Algeria,Melvin Mastil,Goalkeeper,26,0,0,0,0,,,baja
Algeria,Rayan Aït Nouri,Defence,25,0,0,0,0,,,baja
Algeria,Samir Chergui,Defence,27,0,0,0,0,,,baja
Algeria,Rafik Belghali,Defence,24,0,0,0,0,,,baja
Algeria,Zinédine Belaïd,Defence,27,0,0,0,0,,,baja
Algeria,Amine Tougai,Defence,26,0,0,0,0,,,baja
Algeria,Achref Abada,Defence,27,0,0,0,0,,,baja
Algeria,Hicham Boudaoui,Midfield,26,0,0,0,0,,,baja
Algeria,Fares Chaïbi,Midfield,23,0,0,0,0,,,baja
Algeria,Yacine Titraoui,Midfield,22,0,0,0,0,,,baja
Algeria,Mohammed Amoura,Offence,26,0,0,0,0,,,baja
Algeria,Anis Moussa,Offence,24,0,0,0,0,,,baja
Algeria,Farés Ghedjemis,Offence,23,0,0,0,0,,,baja
Australia,Maty Ryan,Goalkeeper,34,0,0,0,0,,,baja
Australia,Paul Izzo,Goalkeeper,31,0,0,0,0,,,baja
Australia,Patrick Beach,Goalkeeper,22,0,0,0,0,,,baja
Australia,Miloš Degenek,Defence,32,0,0,0,0,,,baja
Australia,Kai Trewin,Defence,25,0,0,0,0,,,baja
Australia,Jacob Italiano,Defence,24,0,0,0,0,,,baja
Australia,Cameron Burgess,Defence,30,0,0,0,0,,,baja
Australia,Jason Geria,Defence,33,0,0,0,0,,,baja
Australia,Alessandro Circati,Defence,22,0,0,0,0,,,baja
Australia,Lucas Herrington,Defence,18,0,0,0,0,,,baja
Australia,Aiden O'Neill,Midfield,27,0,0,0,0,,,baja
Australia,Cameron Devlin,Midfield,28,0,0,0,0,,,baja
Australia,Paul Okon-Engstler,Midfield,21,0,0,0,0,,,baja
Australia,Mohamed Toure,Offence,22,0,0,0,0,,,baja
Australia,Cristian Volpato,Offence,22,0,0,0,0,,,baja
Australia,Nestor Irankunda,Offence,20,0,0,0,0,,,baja
Australia,Tete Yengi,Offence,25,0,0,0,0,,,baja
New Zealand,Max Crocombe,Goalkeeper,32,0,0,0,0,,,baja
New Zealand,Michael Woud,Goalkeeper,27,0,0,0,0,,,baja
New Zealand,Alex Paulsen,Goalkeeper,23,0,0,0,0,,,baja
New Zealand,Francis De Vries,Defence,31,0,0,0,0,,,baja
New Zealand,Callan Elliot,Defence,26,0,0,0,0,,,baja
New Zealand,Nando Pijnaker,Defence,27,0,0,0,0,,,baja
New Zealand,Alex Rufer,Midfield,30,0,0,0,0,,,baja
New Zealand,Marko Stamenic,Midfield,24,0,0,0,0,,,baja
New Zealand,Lachlan Bayliss,Offence,23,0,0,0,0,,,baja
Switzerland,Gregor Kobel,Goalkeeper,28,0,0,0,0,,,baja
Switzerland,Yvon Mvogo,Goalkeeper,32,0,0,0,0,,,baja
Switzerland,Marvin Keller,Goalkeeper,23,0,0,0,0,,,baja
Switzerland,Ricardo Rodriguez,Defence,33,0,0,0,0,,,baja
Switzerland,Eray Cömert,Defence,28,0,0,0,0,,,baja
Switzerland,Miro Muheim,Defence,28,0,0,0,0,,,baja
Switzerland,Aurele Amenda,Defence,22,0,0,0,0,,,baja
Switzerland,Luca Jaquez,Defence,23,0,0,0,0,,,baja
Switzerland,Djibril Sow,Midfield,29,0,0,0,0,,,baja
Switzerland,Ardon Jasari,Midfield,23,0,0,0,0,,,baja
Switzerland,Fabian Rieder,Midfield,24,0,0,0,0,,,baja
Switzerland,Cédric Itten,Offence,29,0,0,0,0,,,baja
Ecuador,Hernán Galíndez,Goalkeeper,39,0,0,0,0,,,baja
Ecuador,Gonzalo Valle,Goalkeeper,30,0,0,0,0,,,baja
Ecuador,Moisés Ramírez,Goalkeeper,25,0,0,0,0,,,baja
Ecuador,Ángelo Preciado,Defence,28,0,0,0,0,,,baja
Ecuador,William Pacho,Defence,24,0,0,0,0,,,baja
Ecuador,Jackson Porozo,Defence,25,0,0,0,0,,,baja
Ecuador,Joel Ordoñez,Defence,22,0,0,0,0,,,baja
Ecuador,Yaimar Medina,Defence,21,0,0,0,0,,,baja
Ecuador,Alan Franco,Midfield,27,0,0,0,0,,,baja
Ecuador,Jordy Alcívar,Midfield,26,0,0,0,0,,,baja
Ecuador,Pedro Vite,Midfield,24,0,0,0,0,,,baja
Ecuador,Ray Paez,Midfield,19,0,0,0,0,,,baja
Ecuador,Denil Castillo,Midfield,22,0,0,0,0,,,baja
Ecuador,John Yeboah,Offence,26,0,0,0,0,,,baja
Ecuador,Anthony Valencia,Offence,22,0,0,0,0,,,baja
Ecuador,Jeremy,Offence,21,0,0,0,0,,,baja
Sweden,Kristoffer Nordfeldt,Goalkeeper,37,0,0,0,0,,,baja
Sweden,Viktor Johansson,Goalkeeper,27,0,0,0,0,,,baja
Sweden,Jacob Widell Zetterström,Goalkeeper,27,0,0,0,0,,,baja
Sweden,Victor Nilsson-Lindelöf,Defence,31,0,0,0,0,,,baja
Sweden,Carl Starfelt,Defence,31,0,0,0,0,,,baja
Sweden,Gabriel Gudmundsson,Defence,27,0,0,0,0,,,baja
Sweden,Hjalmar Ekdal,Defence,27,0,0,0,0,,,baja
Sweden,Eric Smith,Defence,29,0,0,0,0,,,baja
Sweden,Daniel Svensson,Defence,24,0,0,0,0,,,baja
Sweden,Isak Hien,Defence,27,0,0,0,0,,,baja
Sweden,Herman Johansson,Defence,28,0,0,0,0,,,baja
Sweden,Elliot Stroud,Defence,24,0,0,0,0,,,baja
Sweden,Jesper Karlström,Midfield,31,0,0,0,0,,,baja
Sweden,Besfort Zeneli,Midfield,23,0,0,0,0,,,baja
Sweden,Taha Ali,Midfield,27,0,0,0,0,,,baja
Sweden,Lucas Bergvall,Midfield,20,0,0,0,0,,,baja
Sweden,Gustaf Nilsson,Offence,29,0,0,0,0,,,baja
Sweden,Alexander Bernhardsson,Offence,27,0,0,0,0,,,baja
Czechia,Jindřich Staněk,Goalkeeper,30,0,0,0,0,,,baja
Czechia,Matej Kovar,Goalkeeper,26,0,0,0,0,,,baja
Czechia,Lukáš Horníček,Goalkeeper,23,0,0,0,0,,,baja
Czechia,Jaroslav Zelený,Defence,33,0,0,0,0,,,baja
Czechia,Vladimir Coufal,Defence,33,0,0,0,0,,,baja
Czechia,David Zima,Defence,25,0,0,0,0,,,baja
Czechia,David Jurásek,Defence,25,0,0,0,0,,,baja
Czechia,Robin Hranac,Defence,26,0,0,0,0,,,baja
Czechia,Štěpán Chaloupek,Defence,23,0,0,0,0,,,baja
Czechia,Denis Višinský,Midfield,23,0,0,0,0,,,baja
Czechia,Alexandr Sojka,Midfield,23,0,0,0,0,,,baja
Czechia,Hugo Sochůrek,Midfield,18,0,0,0,0,,,baja
Czechia,Mojmír Chytil,Offence,27,0,0,0,0,,,baja
Croatia,Dominik Livaković,Goalkeeper,31,0,0,0,0,,,baja
Croatia,Ivor Pandur,Goalkeeper,26,0,0,0,0,,,baja
Croatia,Dominik Kotarski,Goalkeeper,26,0,0,0,0,,,baja
Croatia,Marin Pongračić,Defence,28,0,0,0,0,,,baja
Croatia,Martin Erlic,Defence,28,0,0,0,0,,,baja
Croatia,Josip Stanišić,Defence,26,0,0,0,0,,,baja
Croatia,Josip Šutalo,Defence,26,0,0,0,0,,,baja
Croatia,Luka Vušković,Defence,19,0,0,0,0,,,baja
Croatia,Nikola Moro,Midfield,28,0,0,0,0,,,baja
Croatia,Petar Sucic,Midfield,22,0,0,0,0,,,baja
Croatia,Marco Pašalić,Offence,25,0,0,0,0,,,baja
Croatia,Igor Matanovic,Offence,23,0,0,0,0,,,baja
Saudi Arabia,Mohammed Al Owais,Goalkeeper,34,0,0,0,0,,,baja
Saudi Arabia,Nawaf Al Aqidi,Goalkeeper,26,0,0,0,0,,,baja
Saudi Arabia,Ahmed Al Kassar,Goalkeeper,35,0,0,0,0,,,baja
Saudi Arabia,Abdulelah Al Amri,Defence,29,0,0,0,0,,,baja
Saudi Arabia,Saud Abdulhamid,Defence,26,0,0,0,0,,,baja
Saudi Arabia,Hassan Al Tambakti,Defence,27,0,0,0,0,,,baja
Saudi Arabia,Moteb Al Harbi,Defence,26,0,0,0,0,,,baja
Saudi Arabia,Ali Majrashi,Defence,26,0,0,0,0,,,baja
Saudi Arabia,Jehad Thakri,Defence,24,0,0,0,0,,,baja
Saudi Arabia,Nawaf Boushal,Defence,26,0,0,0,0,,,baja
Saudi Arabia,Salem Al Dawsari,Midfield,34,0,0,0,0,,,baja
Saudi Arabia,Abdullah Al Khaibari,Midfield,29,0,0,0,0,,,baja
Saudi Arabia,Nasser Al Dawsari,Midfield,27,0,0,0,0,,,baja
Saudi Arabia,Ayman Yahya,Midfield,25,0,0,0,0,,,baja
Saudi Arabia,Musab Al Juwayr,Midfield,23,0,0,0,0,,,baja
Saudi Arabia,Mohammed Kanno,Midfield,31,0,0,0,0,,,baja
Saudi Arabia,Ziyad Al-Johani,Midfield,24,0,0,0,0,,,baja
Saudi Arabia,Mohammed Abu Al Shamat,Midfield,23,0,0,0,0,,,baja
Saudi Arabia,Alaa Al Hejji,Midfield,30,0,0,0,0,,,baja
Saudi Arabia,Sultan Mandash,Offence,31,0,0,0,0,,,baja
Saudi Arabia,Saleh Al Shehri,Offence,32,0,0,0,0,,,baja
Saudi Arabia,Khalid Al Ghannam,Offence,25,0,0,0,0,,,baja
Saudi Arabia,Firas Al Brikan,Offence,26,0,0,0,0,,,baja
Tunisia,Aymen Dahmen,Goalkeeper,29,0,0,0,0,,,baja
Tunisia,Sabri Ben Hessen,Goalkeeper,30,0,0,0,0,,,baja
Tunisia,Abdelmouhib Chamakh,Goalkeeper,24,0,0,0,0,,,baja
Tunisia,Ali El Abdi,Defence,32,0,0,0,0,,,baja
Tunisia,Yan Valery,Defence,27,0,0,0,0,,,baja
Tunisia,Mortadha Ben Ouanes,Defence,31,0,0,0,0,,,baja
Tunisia,Moutaz Neffati,Defence,21,0,0,0,0,,,baja
Tunisia,Mohamed Amine Ben Hamida,Defence,30,0,0,0,0,,,baja
Tunisia,Adem Arous,Defence,21,0,0,0,0,,,baja
Tunisia,Rani Khedira,Midfield,32,0,0,0,0,,,baja
Tunisia,Hadj Mahmoud,Midfield,26,0,0,0,0,,,baja
Tunisia,Sebastian Tounekti,Offence,23,0,0,0,0,,,baja
Tunisia,Rayan Elloumi,Offence,18,0,0,0,0,,,baja
Tunisia,Khalil Ayari,Offence,21,0,0,0,0,,,baja
Turkey,Mert Günok,Goalkeeper,37,0,0,0,0,,,baja
Turkey,Altay Bayındır,Goalkeeper,28,0,0,0,0,,,baja
Turkey,Uğurcan Çakır,Goalkeeper,30,0,0,0,0,,,baja
Turkey,Ozan Kabak,Defence,26,0,0,0,0,,,baja
Turkey,Samet Akaydın,Defence,32,0,0,0,0,,,baja
Turkey,Evren Eren Elmalı,Defence,25,0,0,0,0,,,baja
Turkey,Arda Guler,Midfield,21,0,0,0,0,,,baja
Turkey,Oguz Aydin,Midfield,25,0,0,0,0,,,baja
Turkey,Baris Yilmaz,Midfield,26,0,0,0,0,,,baja
Turkey,Muhammed Kerem Aktürkoğlu,Offence,27,0,0,0,0,,,baja
Turkey,Deniz Gul,Offence,21,0,0,0,0,,,baja
Turkey,Can Uzun,Offence,20,0,0,0,0,,,baja
Senegal,Edouard Mendy,Goalkeeper,34,0,0,0,0,,,baja
Senegal,Yehvann Diouf,Goalkeeper,26,0,0,0,0,,,baja
Senegal,Mory Diaw,Goalkeeper,33,0,0,0,0,,,baja
Senegal,Ismail Jakobs,Defence,26,0,0,0,0,,,baja
Senegal,Moussa Niakhaté,Defence,30,0,0,0,0,,,baja
Senegal,Antoine Mendy,Defence,22,0,0,0,0,,,baja
Senegal,Mamadou Sarr,Defence,20,0,0,0,0,,,baja
Senegal,Idrissa Gana Guèye,Midfield,36,0,0,0,0,,,baja
Senegal,Pathé Ciss,Midfield,32,0,0,0,0,,,baja
Senegal,Habib Diarra,Midfield,22,0,0,0,0,,,baja
Senegal,Bara Ndiaye,Midfield,18,0,0,0,0,,,baja
Senegal,Ahmadou Bamba Dieng,Offence,26,0,0,0,0,,,baja
Senegal,Assane Diao,Offence,20,0,0,0,0,,,baja
Senegal,Ibrahim M'Baye,Offence,18,0,0,0,0,,,baja
Belgium,Thibaut Courtois,Goalkeeper,34,0,0,0,0,,,baja
Belgium,Senne Lammens,Goalkeeper,23,0,0,0,0,,,baja
Belgium,Mike Penders,Goalkeeper,20,0,0,0,0,,,baja
Belgium,Koni De Winter,Defence,24,0,0,0,0,,,baja
Belgium,Zeno Debast,Defence,22,0,0,0,0,,,baja
Belgium,Nathan Ngoy,Defence,23,0,0,0,0,,,baja
Belgium,Joaquin Seys,Defence,21,0,0,0,0,,,baja
Belgium,Jeremy Doku,Midfield,24,0,0,0,0,,,baja
Belgium,Amadou Onana,Midfield,24,0,0,0,0,,,baja
Belgium,Diego Moreira,Midfield,21,0,0,0,0,,,baja
Belgium,Matias Fernandez-Pardo,Offence,21,0,0,0,0,,,baja
Morocco,Munir Mohamedi,Goalkeeper,37,0,0,0,0,,,baja
Morocco,Yassine Bounou,Goalkeeper,35,0,0,0,0,,,baja
Morocco,Ahmed Reda Tagnaouti,Goalkeeper,30,0,0,0,0,,,baja
Morocco,Noussair Mazraoui,Defence,28,0,0,0,0,,,baja
Morocco,Issa Diop,Defence,29,0,0,0,0,,,baja
Morocco,Anass Salah-Eddine,Defence,24,0,0,0,0,,,baja
Morocco,Redouane Halhal,Defence,23,0,0,0,0,,,baja
Morocco,Zakaria El Ouahdi,Defence,24,0,0,0,0,,,baja
Morocco,Youssef Belammari,Defence,27,0,0,0,0,,,baja
Morocco,Sofyan Amrabat,Midfield,29,0,0,0,0,,,baja
Morocco,Brahim Diaz,Midfield,26,0,0,0,0,,,baja
Morocco,Neil El Aynaoui,Midfield,24,0,0,0,0,,,baja
Morocco,Chemsdine Talbi,Midfield,21,0,0,0,0,,,baja
Morocco,Ayyoub Bouaddi,Midfield,18,0,0,0,0,,,baja
Morocco,Samir El Mourabet,Midfield,20,0,0,0,0,,,baja
Morocco,Abdessamad Ezzalzouli,Offence,24,0,0,0,0,,,baja
Morocco,Ayoube Amaimouni-Echghouyab,Offence,21,0,0,0,0,,,baja
Austria,Alexander Schlager,Goalkeeper,30,0,0,0,0,,,baja
Austria,Patrick Pentz,Goalkeeper,29,0,0,0,0,,,baja
Austria,Florian Wiegele,Goalkeeper,25,0,0,0,0,,,baja
Austria,Philipp Mwene,Defence,32,0,0,0,0,,,baja
Austria,Kevin Danso,Defence,27,0,0,0,0,,,baja
Austria,Marco Friedl,Defence,28,0,0,0,0,,,baja
Austria,Michael Svoboda,Defence,27,0,0,0,0,,,baja
Austria,Alexander Prass,Defence,25,0,0,0,0,,,baja
Austria,David Affengruber,Defence,25,0,0,0,0,,,baja
Austria,Florian Grillitsch,Midfield,30,0,0,0,0,,,baja
Austria,Nicolas  Seiwald,Midfield,25,0,0,0,0,,,baja
Austria,Patrick Wimmer,Midfield,25,0,0,0,0,,,baja
Austria,Carney Chukwuemeka,Midfield,22,0,0,0,0,,,baja
Austria,Paul Wanner,Midfield,20,0,0,0,0,,,baja
Austria,Marko Arnautovic,Offence,37,0,0,0,0,,,baja
Colombia,Camilo Vargas,Goalkeeper,37,0,0,0,0,,,baja
Colombia,David Ospina,Goalkeeper,37,0,0,0,0,,,baja
Colombia,Álvaro Montero,Goalkeeper,31,0,0,0,0,,,baja
Colombia,Santiago Arias,Defence,34,0,0,0,0,,,baja
Colombia,Johan Mojica,Defence,33,0,0,0,0,,,baja
Colombia,Deiver Machado,Defence,32,0,0,0,0,,,baja
Colombia,Jhon Lucumí,Defence,28,0,0,0,0,,,baja
Colombia,Willer Ditta,Defence,29,0,0,0,0,,,baja
Colombia,Jhon Arias,Midfield,28,0,0,0,0,,,baja
Colombia,Jorge Carrascal,Midfield,28,0,0,0,0,,,baja
Colombia,Kevin Castaño,Midfield,25,0,0,0,0,,,baja
Colombia,Richard Rios,Midfield,26,0,0,0,0,,,baja
Colombia,Juan Portilla,Midfield,27,0,0,0,0,,,baja
Colombia,Gustavo Puerta,Midfield,22,0,0,0,0,,,baja
Colombia,Cucho Hernández,Offence,27,0,0,0,0,,,baja
Colombia,Carlos Gómez,Offence,23,0,0,0,0,,,baja
Egypt,Mohamed El Shenawy,Goalkeeper,37,0,0,0,0,,,baja
Egypt,Mohamed Alaa,Goalkeeper,26,0,0,0,0,,,baja
Egypt,Oufa Shobeir,Goalkeeper,26,0,0,0,0,,,baja
Egypt,El Mahdi Soliman,Goalkeeper,39,0,0,0,0,,,baja
Egypt,Karim Hafez,Defence,30,0,0,0,0,,,baja
Egypt,Mohamed Hany,Defence,30,0,0,0,0,,,baja
Egypt,Ahmed El Fotouh,Defence,28,0,0,0,0,,,baja
Egypt,Rami Rabia,Defence,33,0,0,0,0,,,baja
Egypt,Hossam Abdelmaguid,Defence,25,0,0,0,0,,,baja
Egypt,Tarek Alaa,Defence,24,0,0,0,0,,,baja
Egypt,Zizo,Midfield,30,0,0,0,0,,,baja
Egypt,Nabil Dunga,Midfield,30,0,0,0,0,,,baja
Egypt,Hamdy Fathy,Midfield,31,0,0,0,0,,,baja
Egypt,Trezeguet,Midfield,31,0,0,0,0,,,baja
Egypt,Mohanad Lashin,Midfield,30,0,0,0,0,,,baja
Egypt,Mahmoud Saber,Midfield,24,0,0,0,0,,,baja
Egypt,Haissem Hassan,Offence,24,0,0,0,0,,,baja
Egypt,Hamza Abdelkarim,Offence,18,0,0,0,0,,,baja
Canada,Maxime Crépeau,Goalkeeper,32,0,0,0,0,,,baja
Canada,Dayne St. Clair,Goalkeeper,29,0,0,0,0,,,baja
Canada,Owen Goodman,Goalkeeper,22,0,0,0,0,,,baja
Canada,Alfie Jones,Defence,28,0,0,0,0,,,baja
Canada,Joel Waterman,Defence,30,0,0,0,0,,,baja
Canada,Derek Cornelius,Defence,28,0,0,0,0,,,baja
Canada,Moise Bombito,Defence,26,0,0,0,0,,,baja
Canada,Luc De Fougerolles,Defence,20,0,0,0,0,,,baja
Canada,Mathieu Choinière,Midfield,27,0,0,0,0,,,baja
Canada,Marcelo Flores,Midfield,22,0,0,0,0,,,baja
Canada,Nathan-Dylan Saliba,Midfield,22,0,0,0,0,,,baja
Canada,Ismael Kone,Midfield,24,0,0,0,0,,,baja
Canada,Ali Ahmed,Midfield,25,0,0,0,0,,,baja
Canada,Promise Akinpelu,Offence,24,0,0,0,0,,,baja
Haiti,Alexandre Pierre,Goalkeeper,25,0,0,0,0,,,baja
Haiti,Johny Placide,Goalkeeper,38,0,0,0,0,,,baja
Haiti,Josué Duverger,Goalkeeper,26,0,0,0,0,,,baja
Haiti,Carlens Arcus,Defence,29,0,0,0,0,,,baja
Haiti,Jean-Kevin Duverne,Defence,28,0,0,0,0,,,baja
Haiti,Hannes Delcroix,Defence,27,0,0,0,0,,,baja
Haiti,Martin Expérience,Defence,27,0,0,0,0,,,baja
Haiti,Duke LaCroix,Defence,32,0,0,0,0,,,baja
Haiti,Garven-Michee Metusala,Defence,26,0,0,0,0,,,baja
Haiti,Keeto Thermoncy,Defence,20,0,0,0,0,,,baja
Haiti,Wilguens Paugain,Defence,24,0,0,0,0,,,baja
Haiti,Jean-Ricner Bellegarde,Midfield,27,0,0,0,0,,,baja
Haiti,Dominique Simon,Midfield,25,0,0,0,0,,,baja
Haiti,Carl Sainté,Midfield,23,0,0,0,0,,,baja
Haiti,Woodensky Pierre,Midfield,21,0,0,0,0,,,baja
Haiti,Yassin Fortune,Offence,27,0,0,0,0,,,baja
Haiti,Lenny Joseph,Offence,25,0,0,0,0,,,baja
Haiti,Josué Casimir,Offence,24,0,0,0,0,,,baja
Iran,Hossein Hosseini,Goalkeeper,33,0,0,0,0,,,baja
Iran,Payam Niazmand,Goalkeeper,31,0,0,0,0,,,baja
Iran,Alireza Beiranvand,Goalkeeper,33,0,0,0,0,,,baja
Iran,Ali Nemati,Defence,30,0,0,0,0,,,baja
Iran,Danial Eiri,Defence,22,0,0,0,0,,,baja
Iran,Mohammad Ghorbani,Midfield,25,0,0,0,0,,,baja
Iran,Ariya Yousefi,Midfield,24,0,0,0,0,,,baja
Iran,Medhi Ghayedi,Midfield,27,0,0,0,0,,,baja
Iran,Amir Razzaghinia,Midfield,20,0,0,0,0,,,baja
Iran,Dennis Eckert,Offence,29,0,0,0,0,,,baja
Iran,Ali Alipour,Offence,30,0,0,0,0,,,baja
Iran,Shahriar Moghanlou,Offence,31,0,0,0,0,,,baja
Iran,Amir Hosseinzadeh,Offence,25,0,0,0,0,,,baja
Bosnia-Herzegovina,Martin Zlomislić,Goalkeeper,27,0,0,0,0,,,baja
Bosnia-Herzegovina,Nikola Vasilj,Goalkeeper,30,0,0,0,0,,,baja
Bosnia-Herzegovina,Mladen Jurkas,Goalkeeper,18,0,0,0,0,,,baja
Bosnia-Herzegovina,Sead Kolašinac,Defence,33,0,0,0,0,,,baja
Bosnia-Herzegovina,Dennis Hadžikadunić,Defence,27,0,0,0,0,,,baja
Bosnia-Herzegovina,Stjepan Radeljić,Defence,28,0,0,0,0,,,baja
Bosnia-Herzegovina,Tarik Muharemović,Defence,23,0,0,0,0,,,baja
Bosnia-Herzegovina,Arjan Malic,Defence,20,0,0,0,0,,,baja
Bosnia-Herzegovina,Dženis Burnić,Midfield,28,0,0,0,0,,,baja
Bosnia-Herzegovina,Ivan Šunjić,Midfield,29,0,0,0,0,,,baja
Bosnia-Herzegovina,Amir Hadžiahmetović,Midfield,29,0,0,0,0,,,baja
Bosnia-Herzegovina,Armin Gigovic,Midfield,24,0,0,0,0,,,baja
Bosnia-Herzegovina,Ivan Bašić,Midfield,24,0,0,0,0,,,baja
Bosnia-Herzegovina,Benjamin Tahirovic,Midfield,23,0,0,0,0,,,baja
Bosnia-Herzegovina,Ermin Mahmic,Midfield,21,0,0,0,0,,,baja
Bosnia-Herzegovina,Amar Memić,Midfield,25,0,0,0,0,,,baja
Bosnia-Herzegovina,Ermedin Demirovic,Offence,28,0,0,0,0,,,baja
Bosnia-Herzegovina,Samed Bazdar,Offence,22,0,0,0,0,,,baja
Bosnia-Herzegovina,Esmir Bajraktarevic,Offence,21,0,0,0,0,,,baja
Panama,Luis Mejía,Goalkeeper,35,0,0,0,0,,,baja
Panama,Orlando Mosquera,Goalkeeper,31,0,0,0,0,,,baja
Panama,Cesar Samudio,Goalkeeper,32,0,0,0,0,,,baja
Panama,Roderick Miller,Defence,34,0,0,0,0,,,baja
Panama,Éric Davis,Defence,35,0,0,0,0,,,baja
Panama,Jiovany Ramos,Defence,29,0,0,0,0,,,baja
Panama,José Cordoba,Defence,25,0,0,0,0,,,baja
Panama,Michael Murillo,Defence,30,0,0,0,0,,,baja
Panama,Edgardo Fariña,Defence,24,0,0,0,0,,,baja
Panama,Jorge Gutiérrez,Defence,27,0,0,0,0,,,baja
Panama,Adalberto Carrasquilla,Midfield,27,0,0,0,0,,,baja
Panama,Édgar Bárcenas,Midfield,32,0,0,0,0,,,baja
Panama,Christian Martinez,Midfield,29,0,0,0,0,,,baja
Panama,Tomas Rodriguez,Offence,27,0,0,0,0,,,baja
Panama,Azarias Londoño,Offence,25,0,0,0,0,,,baja
Cape Verde Islands,Márcio Rosa,Goalkeeper,29,0,0,0,0,,,baja
Cape Verde Islands,Vózinha,Goalkeeper,40,0,0,0,0,,,baja
Cape Verde Islands,C.J. dos Santos,Goalkeeper,25,0,0,0,0,,,baja
Cape Verde Islands,Steven Moreira,Defence,31,0,0,0,0,,,baja
Cape Verde Islands,Logan Costa,Defence,25,0,0,0,0,,,baja
Cape Verde Islands,Roberto Lopes,Defence,34,0,0,0,0,,,baja
Cape Verde Islands,Diney Borges,Defence,31,0,0,0,0,,,baja
Cape Verde Islands,Wagner Pina,Defence,23,0,0,0,0,,,baja
Cape Verde Islands,Kelvin Pires,Defence,26,0,0,0,0,,,baja
Cape Verde Islands,Deroy Duarte,Midfield,26,0,0,0,0,,,baja
Cape Verde Islands,Laros Duarte,Midfield,29,0,0,0,0,,,baja
Cape Verde Islands,Nuno Da Costa,Offence,35,0,0,0,0,,,baja
Cape Verde Islands,Dailon Rocha Livramento,Offence,25,0,0,0,0,,,baja
Congo DR,Timothy Fayulu,Goalkeeper,26,0,0,0,0,,,baja
Congo DR,Lionel Mpasi,Goalkeeper,31,0,0,0,0,,,baja
Congo DR,Matthieu Epolo,Goalkeeper,21,0,0,0,0,,,baja
Congo DR,Aaron Wan-Bissaka,Defence,28,0,0,0,0,,,baja
Congo DR,Joris Kayembe,Defence,31,0,0,0,0,,,baja
Congo DR,Dylan Batubinsika,Defence,30,0,0,0,0,,,baja
Congo DR,Gédéon Kalulu,Defence,28,0,0,0,0,,,baja
Congo DR,Steve Kapuadi,Defence,28,0,0,0,0,,,baja
Congo DR,Samuel Moutoussamy,Midfield,29,0,0,0,0,,,baja
Congo DR,Edo Kayembe,Midfield,28,0,0,0,0,,,baja
Congo DR,Aaron Tshibola,Midfield,31,0,0,0,0,,,baja
Congo DR,Noah Sadiki,Midfield,21,0,0,0,0,,,baja
Congo DR,Ngal'ayel Mukau,Midfield,21,0,0,0,0,,,baja
Congo DR,Simon Banza,Offence,29,0,0,0,0,,,baja
Congo DR,Nathanael Mbuku,Offence,24,0,0,0,0,,,baja
Congo DR,Meschack Elia,Offence,28,0,0,0,0,,,baja
Congo DR,Brian Cipenga,Offence,28,0,0,0,0,,,baja
Ivory Coast,Yahia Fofana,Goalkeeper,25,0,0,0,0,,,baja
Ivory Coast,Alban Lafont,Goalkeeper,27,0,0,0,0,,,baja
Ivory Coast,Mohamed Kone,Goalkeeper,24,0,0,0,0,,,baja
Ivory Coast,Evan N'Dicka,Defence,26,0,0,0,0,,,baja
Ivory Coast,Christopher Operi,Defence,29,0,0,0,0,,,baja
Ivory Coast,Ghislain Konan,Defence,30,0,0,0,0,,,baja
Ivory Coast,Wilfried Singo,Defence,25,0,0,0,0,,,baja
Ivory Coast,Guela Doué,Defence,23,0,0,0,0,,,baja
Ivory Coast,Odilon Kossounou,Defence,25,0,0,0,0,,,baja
Ivory Coast,Ousmane Diomande,Defence,22,0,0,0,0,,,baja
Ivory Coast,Parfait Guiagon,Midfield,25,0,0,0,0,,,baja
Ivory Coast,Christ Ravynel Inao Oulaï,Midfield,20,0,0,0,0,,,baja
Ivory Coast,Ange-Yoan Bonny,Offence,22,0,0,0,0,,,baja
Ivory Coast,Sepe Elye Wahi,Offence,23,0,0,0,0,,,baja
Ivory Coast,Oumar Diakite,Offence,22,0,0,0,0,,,baja
Ivory Coast,Yan Diomandé,Offence,19,0,0,0,0,,,baja
Qatar,Salah Zakaria,Goalkeeper,27,0,0,0,0,,,baja
Qatar,Meshaal Barsham,Goalkeeper,28,0,0,0,0,,,baja
Qatar,Mahmoud Abunada,Goalkeeper,26,0,0,0,0,,,baja
Qatar,Jassem Gaber Abdulsallam,Defence,24,0,0,0,0,,,baja
Qatar,Sultan Al Brake,Defence,30,0,0,0,0,,,baja
Qatar,Hashemi Al Hussain,Defence,22,0,0,0,0,,,baja
Qatar,Issa Laye,Defence,28,0,0,0,0,,,baja
Qatar,Ayoub Al-Oui,Defence,21,0,0,0,0,,,baja
Qatar,Assim Madibo,Midfield,29,0,0,0,0,,,baja
