league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Uzbekistan,Dostonbek Khamdamov,Uzbekistan,MF,29-338,1. Pakhtakor Tashkent FK,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Eldor Shomurodov,Uzbekistan,FW,30-363,1. Başakşehir,1995,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Farrukh Sayfiev,Uzbekistan,"DF,MF",35-161,1. Neftchi FK,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Igor Sergeev,Uzbekistan,FW,33-058,1. Persepolis,1993,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Jakhongir Urozov,Uzbekistan,DF,22-160,1. FK Dinamo Samarqand,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Khojiakbar Alijonov,Uzbekistan,DF,29-069,1. Pakhtakor Tashkent FK,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Odiljon Hamrobekov,Uzbekistan,MF,30-134,1. Tractor,1996,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Oston Urunov,Uzbekistan,MF,25-190,1. Persepolis,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Otabek Shukurov,Uzbekistan,MF,30-005,1. Baniyas FC,1996,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Ruslanbek Jiyanov,Uzbekistan,FW,25-022,1. Navbahor,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Rustam Ashurmatov,Uzbekistan,DF,29-355,1. Esteghlal,1996,2,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Sherzod Esanov,Uzbekistan,MF,23-146,1. FK Bukhara Nurafshon,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Sherzod Nasrullaev,Uzbekistan,DF,27-339,1. FC Nasaf,1998,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Uzbekistan,Utkir Yusupov,Uzbekistan,GK,35-174,1. Navbahor,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
